,data_Dimension,Classes,Hidden_AF,Output_AF,TrainTest_Split,First_Hidden_Layer_Tensor_Count,Dropouts,Robust_Train_Accuracy,Robust_Test_Accuracy
0,"(19020, 11)",2,relu,gelu,0.25,100,0.3,0.589,0.5905
1,"(19020, 11)",2,relu,sigmoid,0.25,100,0.3,0.6702,0.6702
2,"(19020, 11)",2,gelu,gelu,0.25,100,0.3,0.5619,0.5621
3,"(19020, 11)",2,gelu,sigmoid,0.25,100,0.3,0.6692,0.6676
4,"(19020, 11)",2,selu,gelu,0.25,100,0.3,0.648,0.648
5,"(19020, 11)",2,selu,sigmoid,0.25,100,0.3,0.6728,0.6745
6,"(19020, 11)",2,sigmoid,gelu,0.25,100,0.3,0.5888,0.5888
7,"(19020, 11)",2,sigmoid,sigmoid,0.25,100,0.3,0.648,0.648
8,"(19020, 11)",2,tanh,gelu,0.25,100,0.3,0.6467,0.6461
9,"(19020, 11)",2,tanh,sigmoid,0.25,100,0.3,0.6454,0.6446
10,"(19020, 11)",2,softmax,gelu,0.25,100,0.3,0.8085,0.8059
11,"(19020, 11)",2,softmax,sigmoid,0.25,100,0.3,0.8649,0.8627
